品番,重複,商品ID,削除,商品名,URL,watch,access,ブランド名,ブランド名（カナ）,ブランド名（英語）,ブランドID
1770,,2JGeKmTP6VQmryTDVkqUsq,,1770 JEWELS ジュエルズ キャバクラ ドレス セットアップ ツイード,https://item.fril.jp/a2ffe80a503cd8c3f5f335d197803484,5,138,JEWELS,ジュエルズ,JEWELS,gDHth9rQCR75WbMLbVgQdJ
581,,2JLxbnEYAUUQPs8bSznPch,,581 dazzy lounge デイジーラウンジ キャバクラ ドレス ミニ,https://item.fril.jp/d77684762dc328c11464ee1a6a558bf9,0,7,dazzy store,デイジーストア,dazzy store,ssfhr9TUD5oqpx8gtF6PTd
2238,,2JLzRtfeCWP7H3XEfoPbx4,,2238 IRMA イルマ キャバクラ ロングドレス キラキラ ビジュー,https://item.fril.jp/26dda3b56d91b8b7ba197b3e96d2b01b,0,7,,,,
1498,,jzVBVSXLMFUsT9QnipVjgD,,1498 DAZZY デイジー キャバクラ ドレス レース ストーン タイト,https://item.fril.jp/05d60100489ebe9f398cb1825269dd7e,1,122,dazzy store,デイジーストア,dazzy store,ssfhr9TUD5oqpx8gtF6PTd
1499,,jjtdqfJbtfXecb9k9Sf7B6,,1499 DAZZY デイジー キャバクラ ドレス キャミ タイト ミニ 無地,https://item.fril.jp/e6db108786b9f9056f780de81e8da9f8,2,135,dazzy store,デイジーストア,dazzy store,ssfhr9TUD5oqpx8gtF6PTd
1504,,dtEcvQMWo6cEH4KLKbLad,,1504 ERUKEI エルケイ キャバクラ ドレス クロシェレース フラワー,https://item.fril.jp/7a44b00f34dfb6854372fdf2111000b0,6,171,,,,
1523,,JqM4UGpkpG3CF2wMoY2H7b,,1523 JEWELS ジュエルズ キャバクラ ドレス スパンコール チュール,https://item.fril.jp/b4db811c9224f7c5cae1331474673979,3,131,JEWELS,ジュエルズ,JEWELS,gDHth9rQCR75WbMLbVgQdJ
1526,,RvAGxaYsRyBN9XPRNEXKML,,1526 AR Angel R エンジェルアール キャバクラ ドレス,https://item.fril.jp/9f2862bcdca3ff1f27735f24cca0c0e7,1,105,AngelR,エンジェルアール,AngelR,58iAExviYX2Cug3uZuYi7d
1537,,U94TCCUZMZ54QExZQTzXDn,,1537 IRMA イルマ キャバクラ ドレス ワッフル ウエストカット,https://item.fril.jp/ce9e27414bdfb643b52f9acc70eb9217,0,81,,,,
1560,,PoatSarV698rU7jYXL38tg,,1560 an アン Andy アンディ キャバクラ ドレス フラワー刺繍,https://item.fril.jp/3057b7dfb0f4ef615340d5f659789551,2,102,Andy,アンディ,Andy,ivXuyumG4x5SdzKFYNM4XA
1562,,XVC9j8Nok7wCcWm2fnrZyg,,1562 DAZZY デイジー キャバクラ ドレス フラワー刺繍 パール,https://item.fril.jp/72f0eaf12c0956aa9982ea8adb59d4c0,2,106,dazzy store,デイジーストア,dazzy store,ssfhr9TUD5oqpx8gtF6PTd
1563,,CvvqKEngiG7mFK62sNYeqL,,1563 an アン Andy アンディ キャバクラ ドレス 総レース,https://item.fril.jp/35c59da055cb4bdf7354a91ea1b88b61,0,104,Andy,アンディ,Andy,ivXuyumG4x5SdzKFYNM4XA
1565,,CieTwstXxe2kBQqGrqdyaE,,1565 Ciel キャバクラ ドレス レース パール ストーン フレア,https://item.fril.jp/cde155aa448c7ecc6ff1445e42a94ef2,0,81,,,,
1572,,2JFuUyEwcTNCzTRvqn6QTy,,1572 キャバクラ ドレス ペイズリー柄 ラップドレス ロング ジャージ素材,https://item.fril.jp/357e7921767e8ce0f892aaf18af36d6f,0,81,,,,
1594,,2JFujvsDtVCwNw9TtD2C2F,,1594 GRACE グレイス キャバクラ ドレス 総レース ミディ タイト,https://item.fril.jp/b20ed8407d9a51518ed98405f7be3a9c,5,183,GRACE,グレイス,GRACE,rBWBYhPfatuUkfm2e6icLF
1595,,2JFukFH2NtgPbkf6gdPGLR,,1595 GLAMOROUS by Andy グラマラスバイアンディ,https://item.fril.jp/f2c8f853d628793e972257a1a9cf31c4,2,110,Andy,アンディ,Andy,ivXuyumG4x5SdzKFYNM4XA
1598,,KKvwrdWb3Aofx8owQDjEu4,,1598 Tika ティカ キャバクラ ドレス ワンショルダー フリル,https://item.fril.jp/29feba48cff250237a09ac93d72ca7c5,0,20,Tika,ティカ,Tika,Z8e4LpvKeRN4hkRwEH8LSK
1600,,bxAXDxPSnQARjzSeMd33Hb,,1600 JEWELS ジュエルズ キャバクラ ドレス ラメ サイドシースルー,https://item.fril.jp/fc4bc70e97fd539e322cc78cf93d37e1,1,105,JEWELS,ジュエルズ,JEWELS,gDHth9rQCR75WbMLbVgQdJ
1606,,ftXnENTMVRaPGDsaWrnKWb,,1606 Andy アンディ キャバクラ ドレス フロントリボン タイト,https://item.fril.jp/fbc449be110a086f9ff2a25b87244a4c,2,120,Andy,アンディ,Andy,ivXuyumG4x5SdzKFYNM4XA
1608,,8TRrXQEPkHDh6KjCyAYuEC,,1608 an アン Andy アンディ キャバクラ ドレス バラ柄 フラワー,https://item.fril.jp/d10547c0b555b490bf969ccf27558f27,0,26,Andy,アンディ,Andy,ivXuyumG4x5SdzKFYNM4XA
1609,,GfKYdTYecXifAoTxQs6tkH,,1609 an アン Andy アンディ キャバクラ ドレス ツイード,https://item.fril.jp/3a7908d22cfb47b69b4c6f91f0682e8a,0,30,Andy,アンディ,Andy,ivXuyumG4x5SdzKFYNM4XA
